External_ID,Name,Account_r.Account__c,Apt_Location__r.Apt_Location__c,Rent__c,Occupied__c,Bedrooms__c,Amenities__c,Available_Date__c,CreatedDate,LastModifiedDate
a03oB000000G3iaQAC,Unit 1043 - Alberta Arts District,,a00oB000000mSNKQA2,2400,FALSE,1,Patio;Washer/Dryer;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3ibQAC,Unit 1044 - Belltown,001oB00000JcW5FQAV,a00oB000000mSNgQAM,3800,TRUE,3,,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3icQAC,Unit 1045 - Financial District,,a00oB000000mSNDQA2,3750,FALSE,2,Washer/Dryer,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3idQAC,Unit 1046 - Sellwood,001oB00000JcW41QAF,a00oB000000mSNQQA2,2150,TRUE,1,Hardwood Floors;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3ieQAC,Unit 1047 - West Seattle,,a00oB000000mSNmQAM,4400,FALSE,3,Patio;Washer/Dryer;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3ifQAC,Unit 1048 - Financial District,001oB00000JcVzVQAV,a00oB000000mSNDQA2,3600,TRUE,2,,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3igQAC,Unit 1049 - Foster-Powell,,a00oB000000mSNWQA2,1950,FALSE,1,Washer/Dryer,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3ihQAC,Unit 1050 - University District,001oB00000JcW5CQAV,a00oB000000mSNdQAM,2550,TRUE,1,Hardwood Floors;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3iiQAC,Unit 1051 - Financial District,,a00oB000000mSNDQA2,4200,FALSE,2,Patio;Washer/Dryer;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3ijQAC,Unit 1052 - Mississippi Avenue,001oB00000JcW3yQAF,a00oB000000mSNNQA2,2400,TRUE,2,,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3ikQAC,Unit 1053 - Madison Park,,a00oB000000mSNjQAM,2350,FALSE,1,Washer/Dryer,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3ilQAC,Unit 1054 - Financial District,001oB00000JcVzYQAV,a00oB000000mSNDQA2,5150,TRUE,3,Hardwood Floors;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3imQAC,Unit 1055 - Irvington,,a00oB000000mSNTQA2,3000,FALSE,2,Patio;Washer/Dryer;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3inQAC,Unit 1056 - Ballard,001oB00000JcW59QAF,a00oB000000mSNaQAM,2200,TRUE,1,,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3ioQAC,Unit 1057 - Financial District,,a00oB000000mSNDQA2,4950,FALSE,3,Washer/Dryer,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3ipQAC,Unit 1058 - Alberta Arts District,001oB00000JcW1PQAV,a00oB000000mSNKQA2,2750,TRUE,2,Hardwood Floors;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3iqQAC,Unit 1059 - Belltown,,a00oB000000mSNgQAM,2800,FALSE,1,Patio;Washer/Dryer;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3irQAC,Unit 1060 - Financial District,001oB00000JcVzbQAF,a00oB000000mSNDQA2,2800,TRUE,1,,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3isQAC,Unit 1061 - Sellwood,,a00oB000000mSNQQA2,2550,FALSE,2,Washer/Dryer,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3itQAC,Unit 1062 - West Seattle,001oB00000JcW56QAF,a00oB000000mSNmQAM,3250,TRUE,2,Hardwood Floors;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3iuQAC,Unit 1063 - Financial District,,a00oB000000mSNDQA2,3400,FALSE,1,Patio;Washer/Dryer;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3ivQAC,Unit 1064 - Foster-Powell,001oB00000JcW0jQAF,a00oB000000mSNWQA2,3200,TRUE,3,,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3iwQAC,Unit 1065 - University District,,a00oB000000mSNdQAM,3050,FALSE,2,Washer/Dryer,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3ixQAC,Unit 1066 - Financial District,001oB00000JcVzeQAF,a00oB000000mSNDQA2,3150,TRUE,1,Hardwood Floors;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3iyQAC,Unit 1067 - Mississippi Avenue,,a00oB000000mSNNQA2,3800,FALSE,3,Patio;Washer/Dryer;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3izQAC,Unit 1068 - Madison Park,001oB00000JcW53QAF,a00oB000000mSNjQAM,2900,TRUE,2,,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3j0QAC,Unit 1069 - Financial District,,a00oB000000mSNDQA2,2950,FALSE,1,Washer/Dryer,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3j1QAC,Unit 1070 - Irvington,001oB00000JcVzNQAV,a00oB000000mSNTQA2,2150,TRUE,1,Hardwood Floors;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3j2QAC,Unit 1071 - Ballard,,a00oB000000mSNaQAM,3500,FALSE,2,Patio;Washer/Dryer;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3j3QAC,Unit 1072 - Financial District,001oB00000JcVzhQAF,a00oB000000mSNDQA2,3600,TRUE,2,,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3j4QAC,Unit 1073 - Alberta Arts District,,a00oB000000mSNKQA2,1950,FALSE,1,Washer/Dryer,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3j5QAC,Unit 1074 - Belltown,001oB00000JcW50QAF,a00oB000000mSNgQAM,4150,TRUE,3,Hardwood Floors;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3j6QAC,Unit 1075 - Financial District,,a00oB000000mSNDQA2,4200,FALSE,2,Patio;Washer/Dryer;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3j7QAC,Unit 1076 - Sellwood,001oB00000JcW1SQAV,a00oB000000mSNQQA2,1800,TRUE,1,,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3j8QAC,Unit 1077 - West Seattle,,a00oB000000mSNmQAM,3950,FALSE,3,Washer/Dryer,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3j9QAC,Unit 1078 - Financial District,001oB00000JcVzkQAF,a00oB000000mSNDQA2,3950,TRUE,2,Hardwood Floors;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jAQAS,Unit 1079 - Foster-Powell,,a00oB000000mSNWQA2,2400,FALSE,1,Patio;Washer/Dryer;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jBQAS,Unit 1080 - University District,001oB00000JcW4xQAF,a00oB000000mSNdQAM,2200,TRUE,1,,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jCQAS,Unit 1081 - Financial District,,a00oB000000mSNDQA2,3750,FALSE,2,Washer/Dryer,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jDQAS,Unit 1082 - Mississippi Avenue,001oB00000JcW3vQAF,a00oB000000mSNNQA2,2750,TRUE,2,Hardwood Floors;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jEQAS,Unit 1083 - Madison Park,,a00oB000000mSNjQAM,2800,FALSE,1,Patio;Washer/Dryer;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jFQAS,Unit 1084 - Financial District,001oB00000JcVznQAF,a00oB000000mSNDQA2,4800,TRUE,3,,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jGQAS,Unit 1085 - Irvington,,a00oB000000mSNTQA2,2550,FALSE,2,Washer/Dryer,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jHQAS,Unit 1086 - Ballard,001oB00000JcW4uQAF,a00oB000000mSNaQAM,2550,TRUE,1,Hardwood Floors;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jIQAS,Unit 1087 - Financial District,,a00oB000000mSNDQA2,5400,FALSE,3,Patio;Washer/Dryer;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jJQAS,Unit 1088 - Alberta Arts District,001oB00000JcVzuQAF,a00oB000000mSNKQA2,2400,TRUE,2,,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jKQAS,Unit 1089 - Belltown,,a00oB000000mSNgQAM,2350,FALSE,1,Washer/Dryer,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jLQAS,Unit 1090 - Financial District,001oB00000JcVzqQAF,a00oB000000mSNDQA2,3150,TRUE,1,Hardwood Floors;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jMQAS,Unit 1091 - Sellwood,,a00oB000000mSNQQA2,3000,FALSE,2,Patio;Washer/Dryer;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jNQAS,Unit 1092 - West Seattle,001oB00000JcW4rQAF,a00oB000000mSNmQAM,2900,TRUE,2,,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jOQAS,Unit 1093 - Financial District,,a00oB000000mSNDQA2,2950,FALSE,1,Washer/Dryer,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jPQAS,Unit 1094 - Foster-Powell,001oB00000JcW1VQAV,a00oB000000mSNWQA2,3550,TRUE,3,Hardwood Floors;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jQQAS,Unit 1095 - University District,,a00oB000000mSNdQAM,3500,FALSE,2,Patio;Washer/Dryer;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jRQAS,Unit 1096 - Financial District,001oB00000JcVztQAF,a00oB000000mSNDQA2,2800,TRUE,1,,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jSQAS,Unit 1097 - Mississippi Avenue,,a00oB000000mSNNQA2,3350,FALSE,3,Washer/Dryer,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jTQAS,Unit 1098 - Madison Park,001oB00000JcW4oQAF,a00oB000000mSNjQAM,3250,TRUE,2,Hardwood Floors;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jUQAS,Unit 1099 - Financial District,,a00oB000000mSNDQA2,3400,FALSE,1,Patio;Washer/Dryer;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jVQAS,Unit 1100 - Irvington,001oB00000JcW3sQAF,a00oB000000mSNTQA2,1800,TRUE,1,,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jWQAS,Unit 1101 - Ballard,,a00oB000000mSNaQAM,3050,FALSE,2,Washer/Dryer,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jXQAS,Unit 1102 - Financial District,001oB00000JcVzwQAF,a00oB000000mSNDQA2,3950,TRUE,2,Hardwood Floors;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jYQAS,Unit 1103 - Alberta Arts District,,a00oB000000mSNKQA2,2400,FALSE,1,Patio;Washer/Dryer;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jZQAS,Unit 1104 - Belltown,001oB00000JcW4lQAF,a00oB000000mSNgQAM,3800,TRUE,3,,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jaQAC,Unit 1105 - Financial District,,a00oB000000mSNDQA2,3750,FALSE,2,Washer/Dryer,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jbQAC,Unit 1106 - Sellwood,001oB00000JcW3pQAF,a00oB000000mSNQQA2,2150,TRUE,1,Hardwood Floors;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jcQAC,Unit 1107 - West Seattle,,a00oB000000mSNmQAM,4400,FALSE,3,Patio;Washer/Dryer;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jdQAC,Unit 1108 - Financial District,001oB00000JcVzzQAF,a00oB000000mSNDQA2,3600,TRUE,2,,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jeQAC,Unit 1109 - Foster-Powell,,a00oB000000mSNWQA2,1950,FALSE,1,Washer/Dryer,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jfQAC,Unit 1110 - University District,001oB00000JcW4iQAF,a00oB000000mSNdQAM,2550,TRUE,1,Hardwood Floors;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jgQAC,Unit 1111 - Financial District,,a00oB000000mSNDQA2,4200,FALSE,2,Patio;Washer/Dryer;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jhQAC,Unit 1112 - Mississippi Avenue,001oB00000JcW1YQAV,a00oB000000mSNNQA2,2400,TRUE,2,,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jiQAC,Unit 1113 - Madison Park,,a00oB000000mSNjQAM,2350,FALSE,1,Washer/Dryer,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jjQAC,Unit 1114 - Financial District,001oB00000JcW02QAF,a00oB000000mSNDQA2,5150,TRUE,3,Hardwood Floors;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jkQAC,Unit 1115 - Irvington,,a00oB000000mSNTQA2,3000,FALSE,2,Patio;Washer/Dryer;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jlQAC,Unit 1116 - Ballard,001oB00000JcW4fQAF,a00oB000000mSNaQAM,2200,TRUE,1,,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jmQAC,Unit 1117 - Financial District,,a00oB000000mSNDQA2,4950,FALSE,3,Washer/Dryer,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jnQAC,Unit 1118 - Alberta Arts District,001oB00000JcW0gQAF,a00oB000000mSNKQA2,2750,TRUE,2,Hardwood Floors;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3joQAC,Unit 1119 - Belltown,,a00oB000000mSNgQAM,2800,FALSE,1,Patio;Washer/Dryer;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jpQAC,Unit 1120 - Financial District,001oB00000JcW05QAF,a00oB000000mSNDQA2,2800,TRUE,1,,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jqQAC,Unit 1121 - Sellwood,,a00oB000000mSNQQA2,2550,FALSE,2,Washer/Dryer,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jrQAC,Unit 1122 - West Seattle,001oB00000JcW4cQAF,a00oB000000mSNmQAM,3250,TRUE,2,Hardwood Floors;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jsQAC,Unit 1123 - Financial District,,a00oB000000mSNDQA2,3400,FALSE,1,Patio;Washer/Dryer;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jtQAC,Unit 1124 - Foster-Powell,001oB00000JcW3mQAF,a00oB000000mSNWQA2,3200,TRUE,3,,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3juQAC,Unit 1125 - University District,,a00oB000000mSNdQAM,3050,FALSE,2,Washer/Dryer,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jvQAC,Unit 1126 - Financial District,001oB00000JcW08QAF,a00oB000000mSNDQA2,3150,TRUE,1,Hardwood Floors;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3jwQAC,Unit 1127 - Mississippi Avenue,,a00oB000000mSNNQA2,3800,FALSE,3,Patio;Washer/Dryer;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
